0.4;0; , ;1
0.142857;0; , ;1
0.125;2;S6,H9,C6, , ;2
0.0833333;2;S6,H9,C6, , ;2
0.0625;2;S6,H9,C6, , ;2
0.05;2;S6,H9,C6, , ;2
0.0416667;2;S6,H9,C6, , ;2
0.0357143;1;S6,H9,C6, , ;2
0.03125;1;S6,H9,C6, , ;2
0.0277778;2;S6,H9,C6,S2, ;2
0.025;2;S6,H9,C6,S2, ;2
0.0227273;2;S6,H9,C6,S2, ;2
0.0208333;2;S6,H9,C6,S2, ;2
0.0192308;2;S6,H9,C6,S2, ;2
0.0178571;1;S6,H9,C6,S2, ;2
0.0166667;2;S6,H9,C6,S2,SQ;2
0.015625;2;S6,H9,C6,S2,SQ;2
0.0147059;2;S6,H9,C6,S2,SQ;2
0.0138889;2;S6,H9,C6,S2,SQ;2
0.0131579;2;S6,H9,C6,S2,SQ;2
0.0125;1;S6,H9,C6,S2,SQ;2
0.1;0; , ;1
0.0714286;0; , ;1
0.0555556;2;S2,D2,D4, , ;3
0.0454545;2;S2,D2,D4, , ;3
0.0384615;2;S2,D2,D4, , ;3
0.0333333;2;S2,D2,D4, , ;3
0.0294118;2;S2,D2,D4, , ;3
0.0263158;1;S2,D2,D4, , ;3
0.0238095;1;S2,D2,D4, , ;3
0.0217391;2;S2,D2,D4,HA, ;3
0.02;2;S2,D2,D4,HA, ;3
0.0185185;2;S2,D2,D4,HA, ;3
0.0172414;2;S2,D2,D4,HA, ;3
0.016129;2;S2,D2,D4,HA, ;3
0.0151515;1;S2,D2,D4,HA, ;3
0.0142857;2;S2,D2,D4,HA,S8;3
0.0135135;2;S2,D2,D4,HA,S8;3
0.0128205;2;S2,D2,D4,HA,S8;3
0.0121951;2;S2,D2,D4,HA,S8;3
0.0116279;2;S2,D2,D4,HA,S8;3
0.0111111;1;S2,D2,D4,HA,S8;3
0.142857;0; , ;1
0.0833333;2; , ;1
0.0588235;2; , ;1
0.0454545;0; , ;1
0.0357143;0; , ;1
0.0294118;2;D7,S8,C8, , ;2
0.0263158;2;D7,S8,C8, , ;2
0.0238095;2;D7,S8,C8, , ;2
0.0217391;2;D7,S8,C8, , ;2
0.02;2;D7,S8,C8, , ;2
0.0185185;1;D7,S8,C8, , ;2
0.0172414;1;D7,S8,C8, , ;2
0.016129;2;D7,S8,C8,SA, ;2
0.0151515;2;D7,S8,C8,SA, ;2
0.0142857;2;D7,S8,C8,SA, ;2
0.0135135;2;D7,S8,C8,SA, ;2
0.0128205;2;D7,S8,C8,SA, ;2
0.0121951;1;D7,S8,C8,SA, ;2
0.0116279;2;D7,S8,C8,SA,C2;2
0.0111111;2;D7,S8,C8,SA,C2;2
